Código,Descrição,Unidade medida,CPC,Seção,Divisão,Grupo,Classe,Subclasse
1406,"Obras Civis de Pavimentação Asfáltica                                                                                   ",UNM2,5421,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ","5421: SERVIÇOS GERAIS DE CONSTRUÇÃO DE ESTRADAS(EXCETO ELEVADOS), RUAS,VIAS,ESTRADAS DE FERRO E PISTAS DE ATERRIZAGEM         ",
1414,"Obras Civis de Pavimentação Poliedrica                                                                                  ",UN,5421,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ","5421: SERVIÇOS GERAIS DE CONSTRUÇÃO DE ESTRADAS(EXCETO ELEVADOS), RUAS,VIAS,ESTRADAS DE FERRO E PISTAS DE ATERRIZAGEM         ",
1422,"Obras Civis de Pavimentação de Paralelepípedo                                                                           ",UNM2,5421,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ","5421: SERVIÇOS GERAIS DE CONSTRUÇÃO DE ESTRADAS(EXCETO ELEVADOS), RUAS,VIAS,ESTRADAS DE FERRO E PISTAS DE ATERRIZAGEM         ",
1430,"Obras Civis de Rebaixamento de Lençol D'água                                                                            ",UN,5429,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ","5429: SERVIÇOS GERAIS DE CONSTRUÇÃO DE OUTRAS OBRAS DE ENGENHARIA N.C.P                                                       ",
1740,"Hidrossemeadura (Obras Civis)                                                                                           ",UN,542,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ",,
1767,"Obras Civis de Pontes e Viadutos - Metálicos                                                                            ",UN,5422,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ","5422: SERVIÇOS GERAIS DE CONSTRUÇÃO DE PONTES,ELEVADOS,TÚNEIS E   SUBTERRÂNEOS                                                ",
1775,"Obras Civis de Túneis                                                                                                   ",UN,5422,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ","5422: SERVIÇOS GERAIS DE CONSTRUÇÃO DE PONTES,ELEVADOS,TÚNEIS E   SUBTERRÂNEOS                                                ",
1783,"Obras Civis de Rodovias / Estacionamento                                                                                ",UN,542,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ",,
1791,"Obras Civis de Ferrovias, Pátios e Terminais                                                                            ",UN,542,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ",,
1805,"Obras Civis de Aeroportos                                                                                               ",UN,542,"5: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","54: SERVIÇO DE CONSTRUÇÃO                                                                                                   ","542: SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL                                                            ",,
